Suburb,CouncilArea,Count
Travancore,Moonee Valley,10
Vermont,Whitehorse,10
Yarraville,,10
Armadale,,9
Burwood,,9
Caroline Springs,Melton,9
Carrum,Kingston,9
Frankston South,,9
Keysborough,Greater Dandenong,9
Mooroolbark,Yarra Ranges,9
Niddrie,,9
Ormond,,9
Point Cook,Wyndham,9
Richmond,,9
Ringwood East,Maroondah,9
Ripponlea,Port Phillip,9
South Melbourne,,9
Tarneit,Wyndham,9
Wantirna South,,9
Watsonia North,Banyule,9
West Footscray,,9
Bentleigh,,8
Black Rock,Bayside,8
Blackburn,,8
Blackburn South,Whitehorse,8
Brunswick East,,8
Brunswick West,,8
Camberwell,,8
Carnegie,,8
Caulfield East,Glen Eira,8
Clayton South,,8
Croydon,,8
Doncaster,,8
Donvale,Manningham,8
Ferntree Gully,,8
Forest Hill,,8
Frankston,,8
Gladstone Park,,8
Melton,Melton,8
Newport,,8
Roxburgh Park,,8
Sandringham,,8
Sunshine North,,8
Templestowe Lower,,8
Vermont South,Whitehorse,8
Alphington,Yarra,7
Altona North,,7
Ashburton,,7
Beaumaris,,7
Blackburn North,,7
Blackburn North,Whitehorse,7
Brooklyn,Hobsons Bay,7
Burnley,Yarra,7
Cairnlea,Brimbank,7
Carrum Downs,Frankston,7
Eltham North,Nillumbik,7
Flemington,,7
Frankston South,Frankston,7
Highett,,7
Parkdale,,7
Ringwood,,7
Ringwood North,Maroondah,7
Rosanna,,7
Roxburgh Park,Hume,7
Taylors Hill,Melton,7
Thornbury,,7
Wantirna,Knox,7
Williamstown,,7
Airport West,,6
Balwyn,,6
Broadmeadows,,6
Bulleen,,6
Croydon North,Maroondah,6
Eltham,,6
Fitzroy,,6
Fitzroy North,,6
Footscray,,6
Gardenvale,Glen Eira,6
Malvern East,,6
Meadow Heights,,6
Mernda,Whittlesea,6
Narre Warren,Casey,6
Oakleigh South,,6
Seaholme,Hobsons Bay,6
Springvale,Greater Dandenong,6
Wollert,Whittlesea,6
Albert Park,,5
Altona,,5
Ascot Vale,,5
Bayswater North,Maroondah,5
Box Hill,,5
Briar Hill,Banyule,5
Carrum Downs,,5
Clifton Hill,,5
Dingley Village,,5
Donvale,,5
Doveton,Casey,5
Edithvale,Kingston,5
Elwood,,5
Endeavour Hills,Casey,5
Fawkner,,5
Gisborne,Macedon Ranges,5
Greensborough,Nillumbik,5
Hampton East,,5
Hawthorn,,5
Heathmont,,5
Hillside,,5
Keilor,Brimbank,5
Kensington,Moonee Valley,5
Langwarrin,Frankston,5
Lower Plenty,Banyule,5
Malvern,,5
McKinnon,Glen Eira,5
Melton West,Melton,5
North Melbourne,,5
Oak Park,,5
Scoresby,Knox,5
South Yarra,,5
St Albans,,5
Strathmore,,5
Strathmore Heights,Moonee Valley,5
Sunshine West,,5
Sydenham,Brimbank,5
Thomastown,,5
Vermont South,,5
Wantirna,,5
Windsor,,5
Aberfeldie,,4
Albanvale,Brimbank,4
Altona Meadows,Hobsons Bay,4
Aspendale,Kingston,4
Black Rock,,4
Blackburn South,,4
Brighton East,Glen Eira,4
Burwood East,,4
Carlton North,,4
Chelsea,Kingston,4
Cheltenham,Bayside,4
Dallas,Hume,4
Deer Park,,4
Delahey,Brimbank,4
Edithvale,,4
Eltham North,,4
Fairfield,,4
Fairfield,Yarra,4
Hallam,Casey,4
Hawthorn East,,4
Highett,Kingston,4
Huntingdale,Monash,4
Keilor,,4
Keilor Downs,,4
Kings Park,Brimbank,4
Kingsville,,4
Knoxfield,Knox,4
Kurunjang,Melton,4
Maidstone,,4
Maribyrnong,,4
Melton,,4
Moorabbin,,4
Oakleigh,,4
Point Cook,,4
Princes Hill,Yarra,4
Taylors Lakes,,4
Templestowe,,4
Truganina,Wyndham,4
Vermont,,4
Albion,,3
Aspendale,,3
Bayswater North,,3
Bonbeach,,3
Briar Hill,,3
Campbellfield,Hume,3
Canterbury,,3
Carlton,,3
Clayton South,Kingston,3
Collingwood,,3
Dandenong North,,3
Derrimut,Brimbank,3
Diamond Creek,,3
Diamond Creek,Nillumbik,3
Docklands,Melbourne,3
Doreen,,3
Doreen,Whittlesea,3
Fitzroy North,Moreland,3
Frankston North,Frankston,3
Gisborne,,3
Gowanbrae,,3
Hampton Park,Casey,3
Huntingdale,,3
Jacana,,3
Kilsyth,,3
McKinnon,,3
Melton South,,3
Melton West,,3
Mernda,,3
Middle Park,,3
Mont Albert,,3
Mooroolbark,,3
Mordialloc,,3
Pakenham,Cardinia,3
Ringwood East,,3
Ringwood North,,3
Scoresby,,3
Seabrook,Hobsons Bay,3
South Morang,,3
Springvale,,3
The Basin,Knox,3
Viewbank,,3
Warrandyte,Manningham,3
Watsonia,,3
Westmeadows,,3
Wollert,,3
Wyndham Vale,Wyndham,3
Albanvale,,2
Alphington,,2
Altona Meadows,,2
Ardeer,Brimbank,2
Aspendale Gardens,,2
Aspendale Gardens,Kingston,2
Balaclava,,2
Bayswater,,2
Beaconsfield,Cardinia,2
Berwick,,2
Boronia,,2
Braybrook,,2
Bundoora,Darebin,2
Burnside,,2
Burnside Heights,Melton,2
Caroline Springs,,2
Caulfield South,,2
Chelsea Heights,,2
Chelsea Heights,Kingston,2
Chirnside Park,Yarra Ranges,2
Clarinda,,2
Clarinda,Kingston,2
Clayton,,2
Coburg North,,2
Coolaroo,,2
Coolaroo,Hume,2
Cranbourne,Casey,2
Cranbourne North,Casey,2
Croydon Hills,,2
Croydon Hills,Maroondah,2
Dallas,,2
Dandenong,,2
Deepdene,Boroondara,2
Delahey,,2
Derrimut,,2
Diggers Rest,Melton,2
Doveton,,2
Elsternwick,,2
Eltham North,Banyule,2
Essendon North,,2
Greenvale,,2
Hampton East,Kingston,2
Heidelberg Heights,,2
Heidelberg West,,2
Ivanhoe East,,2
Kealba,,2
Keilor East,Brimbank,2
Keysborough,,2
Montmorency,,2
Murrumbeena,,2
Notting Hill,Monash,2
Nunawading,,2
Seaford,,2
Seddon,,2
Silvan,Yarra Ranges,2
Skye,Frankston,2
Spotswood,,2
Springvale South,,2
St Helena,Banyule,2
St Kilda,,2
Sunshine,,2
Tullamarine,,2
Warrandyte,,2
West Melbourne,,2
Abbotsford,,1
Ardeer,,1
Ashwood,,1
Attwood,,1
Avondale Heights,,1
Bacchus Marsh,Moorabool,1
Beaconsfield Upper,Cardinia,1
Bellfield,,1
Bonbeach,Kingston,1
Brookfield,Melton,1
Brooklyn,,1
Brooklyn,Brimbank,1
Bullengarook,Macedon Ranges,1
Burnside Heights,,1
Campbellfield,,1
Caulfield East,,1
Chadstone,,1
Chelsea,,1
Coburg North,Darebin,1
Cranbourne,,1
Cremorne,,1
Croydon North,,1
Croydon South,Maroondah,1
Eaglemont,,1
Elwood,Glen Eira,1
Emerald,Cardinia,1
Fawkner,Hume,1
Flemington,Melbourne,1
Frankston North,,1
Glen Huntly,,1
Hadfield,,1
Hallam,,1
Hampton,Unavailable,1
Hampton Park,,1
Healesville,Yarra Ranges,1
Heidelberg,,1
Hillside,Brimbank,1
Hurstbridge,,1
Hurstbridge,Nillumbik,1
Ivanhoe,,1
Keilor Lodge,,1
Keilor Lodge,Brimbank,1
Keilor Park,,1
Kensington,,1
Kilsyth,Maroondah,1
Kings Park,,1
Kooyong,,1
Kooyong,Stonnington,1
Langwarrin,,1
Monbulk,,1
Mont Albert,Boroondara,1
Montrose,Yarra Ranges,1
Mount Evelyn,,1
Mount Evelyn,Yarra Ranges,1
Narre Warren,,1
New Gisborne,,1
North Warrandyte,,1
North Warrandyte,Nillumbik,1
Notting Hill,,1
